# 2026-07 Monthly Brief screening ledger
# count=365 | main=3bb929004ff8b547b86e5f1beab0efb3dac19d62 | blob=beb2aa7615b583b4c9c0c269974601a0b26c2684

001 | top  | 2026-07-31 | GL | 2026-07-31_GL_02 | 인도, 5,000MW 수상태양광·최소 2시간 ESS PM-Surya Sarovar 승인 | FACT: 인도 연방 내각은 PM-Surya Sarovar Yojana를 승인했다. 제도는 5,000MW 수상태양광과 최소 2시간 에너지저장장치를 결합하는 구조를 지원한다. | GATE: 이번 사건은 제도 승인 단계이며 개별 프로젝트 선정·착공을 의미하지 않는다. 후속 판단 지점은 세부 사업 선정과 실제 집행 속도다.
071 | top  | 2026-07-01 | GL | 2026-07-01_GL_03 | Firmus·Gunvor, 호주 AI 캠퍼스 12년 전력계약…1.2GW 재생에너지·1.5GWh 저장 연계 | FACT: Firmus Technologies는 Gunvor Group과 12년 도매 전력공급계약을 체결했다고 2026년 7월 1일 발표했다. 계약은 남호주 AI Factory 캠퍼스에 600MW의 확정전력을 공급하기 위해 2032년까지 신규 재생에너지 1.2GW와 배터리저장 1.5GWh 개발을 연계한다. Tailem Bend와 S | GATE: 전력공급 계약이 신규 발전·저장 개발을 뒷받침하지만 모든 설비가 현재 건설된 것은 아니다. 캠퍼스 수요확정, 프로젝트별 인허가·금융과 단계별 준공이 핵심이다. 캠퍼스 총 2.7GW는 장기 계획치이며 12년 계약의 600MW 공급범위, 발전·저장자산의 인허가와 단계별 금
072 | top  | 2026-07-01 | GL | 2026-07-01_GL_02 | Vena Energy, 호주 태양광·BESS 포트폴리오 A$14억 그린파이낸싱 | FACT: Vena Energy는 2026년 7월 1일 호주 태양광과 BESS 자산을 지원하기 위해 약 A$14억의 그린파이낸싱을 확보했다고 밝혔다. 첫 거래는 운영 태양광 294MWp, 건설 중 태양광 320MWp와 BESS 408MWh를, 두 번째 거래는 서로 인접한 총 583MWh 배터리 2개 유닛과 운영 중 150MWh 배터 | GATE: 신규 프로젝트금융과 기존시설 리파이낸싱이 결합된 포트폴리오 거래다. 총액을 전부 신규 건설자금으로 해석하면 안 되며 자산별 대출구조와 준공조건을 구분해야 한다. A$14억 전액이 신규 BESS 건설비는 아니므로 프로젝트별 신규대출·리파이낸싱·운영자산 담보 범위를 분리해
073 | top  | 2026-07-01 | GL | 2026-07-01_GL_01 | Grenergy, 칠레 Elena 3.5GWh BESS 기반 1TWh 야간 PPA 체결 | FACT: Grenergy는 칠레의 3.5GWh Elena 배터리에너지저장장치를 기반으로 총 1TWh 규모의 야간 전력구매계약을 체결했다고 2026년 7월 1일 발표했다. 계약은 저장된 태양광 전력을 야간에 공급하는 구조다. 계약기간은 15년이며 공급은 2026년 7~10월 사이 시작될 예정이다. Elena 저장용량은 현재 3.5G | GATE: 저장용량 자체보다 낮 시간대 재생에너지를 야간 상품으로 전환해 장기 판매계약을 확보했다는 점이 핵심이다. 계약기간, 가격, 구매자와 BESS 준공일정이 수익성 판단에 필요하다. 1TWh는 연간 계약전력량이고 7GWh는 향후 자산확장 계획이므로 현재 가동용량·증설투자·실
074 | top  | 2026-07-01 | EU | 2026-07-01_EU_01 | Greenvolt·BYD, 폴란드 600MW·2.4GWh BESS 공급계약…본공사 3분기 예정 | FACT: Greenvolt Power와 BYD Energy Storage는 2026년 7월 1일 폴란드 Siedlce 600MW·2.4GWh BESS에 BYD Haohan 시스템을 공급하는 계약을 체결했다고 밝혔다. 양사는 계약 발표를 건설단계 진입으로 설명했으며 본격 공사는 2026년 3분기로 예정했다. 프로젝트는 폴란드 용량시 | GATE: 대형 공급계약이 체결됐지만 상업운전은 예정단계이며 계약 발표상의 ‘건설 시작’과 3분기 본공사 일정을 구분해야 한다. 인허가·금융종결, EPC 진도와 계통연계가 핵심이다. 용량시장 수익 확보는 금융가능성을 높이지만 EPC 종결·계통접속·착공과 2027년 상업운전 달성 
075 | top  | 2026-07-01 | CN | 2026-07-01_CN_01 | 중국 GB 38031-2025 동력배터리 안전 강제표준 시행 | FACT: 중국의 강제 국가표준 GB 38031-2025 「전기자동차용 동력축전지 안전요구」가 2026년 7월 1일 시행됐다. 배터리팩은 단일 셀 열폭주 이후 2시간 동안 화재·폭발이 없어야 하고 경보와 연기·가스 안전요건을 충족해야 한다. 새 표준은 하부충격 시험과 300회 급속충전 후 외부단락 시험을 추가했다. 신규 신고 차종은 | GATE: 표준의 공식 적용대상은 EV 구동용 셀·팩·시스템으로 일반 ESS 배터리와 동일 규격이 아니다. 열폭주 시험·판정조건과 기존차종 전환은 형식승인·시행문서를 함께 확인해야 한다. 특정 분리막·열차단재나 배터리 화학계를 의무화하거나 특정 소재의 직접수혜로 확대해석해서는 안
076 | high | 2026-07-31 | US | 2026-07-31_US_01 | 매사추세츠, 중주기 ESS 약 1,000MW 2차 RFP 발행 | FACT: 매사추세츠 배전사들은 주 에너지자원부(DOER)와 조율해 7월 31일 Section 83E 2차 장기계약 RFP를 발행했다. 공식 문서는 4~10시간 중주기 에너지저장시스템 약 1,000MW를 조달 대상으로 제시한다. 이번 조달은 전체 5,000MW 계획의 두 번째 경쟁입찰이다. | GATE: 이번 사건은 RFP 발행 단계이며 1,000MW의 계약 체결이나 프로젝트 선정을 의미하지 않는다. 공식 문서도 선정팀이 특정 물량을 반드시 선정할 의무는 없다고 명시한다.
077 | high | 2026-07-31 | KR | 2026-07-31_KR_02 | LG화학 첨단소재, 2Q 영업흑자 전환…분리막 출하 확대·ESS 물량 증가 전망 | FACT: LG화학 2분기 첨단소재 부문은 매출 9,990억원, 영업이익 200억원을 기록했다. 공식 실적자료는 양극재 판가 상승과 분리막 출하 확대에 따른 전지재료 매출 증가를 설명했고, 하반기에는 신규 양극재 고객 출하와 ESS향 분리막 물량 증가를 전망했다. | GATE: ESS 분리막 확대는 배터리 소재 수요 신호이지 파우치필름 외장재 수요와 1:1로 연결되는 근거는 아니다. 셀 폼팩터와 고객별 ESS 채택 구조를 별도로 확인해야 한다.
078 | high | 2026-07-31 | KR | 2026-07-31_KR_01 | L&F Plus, LFP 양극재 시생산품 첫 출하 | FACT: L&F Plus는 LFP 양극재 시생산품을 처음 출하했다. 확인된 사건 단계는 시생산품의 첫 출하다. | GATE: 시생산품 첫 출하는 고객 승인이나 본격 상업 양산 확정과 다르다. 후속 반복 출하와 양산 전환을 별도로 확인해야 한다.
079 | high | 2026-07-31 | GL | 2026-07-31_GL_01 | 한국-아르헨티나, 핵심광물 협력 MOU 체결 | FACT: 한국과 아르헨티나는 7월 31일 핵심광물 협력 MOU를 체결했다. 현재 확인된 단계는 양국 정부 간 협력 틀의 구축이다. | GATE: MOU는 협력 채널 구축 단계이며 구체적인 광물 확보나 투자계약을 의미하지 않는다. 후속 공동사업·투자·장기 공급계약으로 전환되는지 확인해야 한다.
080 | high | 2026-07-30 | US | 2026-07-30_US_02 | Perpetua-INL, 안티몬 파일럿 플랜트 가동 | FACT: Idaho National Laboratory는 Perpetua Resources의 Stibnite Gold Project 원료를 처리하는 모듈형 안티몬 파일럿 플랜트를 가동했다. 처리 규모는 하루 약 1톤이다. | GATE: 파일럿 플랜트 가동은 상업생산과 다르다. 처리능력·품질과 규모확대 여부가 미국 내 정제역량의 다음 검증 포인트다.
081 | high | 2026-07-30 | US | 2026-07-30_US_01 | Antora Energy, 5.5억달러 Series C 조달 | FACT: Antora Energy는 5.5억달러 Series C를 조달했다. 회사는 조달자금을 열배터리 상용 확대와 미국 제조능력 확장에 투입할 계획이다. | GATE: 투자금 조달은 상용 수요를 보장하지 않는다. 제조거점의 구체화와 고객 프로젝트 전환이 자금조달의 실행력을 보여줄 다음 지표다.
082 | high | 2026-07-30 | KR | 2026-07-30_KR_02 | SK온, 2Q 흑자전환…ESS 수주 확대·기존 라인 전환 검토 | FACT: SK온 배터리 사업은 2026년 2분기 매출 2조9460억원, 영업이익 8218억원을 기록해 흑자 전환했다. SK이노베이션은 아시아 판매 확대, 고객 보상금, IRA 세액공제 증가와 비용 절감이 손익 개선에 기여했다고 밝혔다. 하반기에는 AI 하이퍼스케일러와 전력회사 중심으로 ESS 추가 수주를 확대할 계획이다. 실적 Q | GATE: 2분기 흑자에는 고객 보상금과 IRA 세액공제 등 일회성·지원 요인이 포함된다. ESS 수주 확대는 회사의 공식 계획이지만 기존 EV 라인의 ESS 전환은 Q&A 기준 검토 단계로, 실행된 전환으로 표현하면 안 된다.
083 | high | 2026-07-30 | KR | 2026-07-30_KR_01 | 포스코아르헨티나, 염수리튬 1공장 안정화로 첫 분기 흑자 | FACT: 포스코홀딩스는 2026년 2분기 연결 매출 19조2590억원, 영업이익 8190억원, 순이익 7610억원을 발표했다. 포스코아르헨티나는 염수리튬 1공장 조업 안정화와 설비 개선으로 분기 기준 첫 흑자 전환에 성공했다. 회사는 하반기 2공장 준공으로 초기 비용 증가를 예상하면서도 단계적 증산과 판매 확대로 수익성을 높일 계 | GATE: 첫 분기 흑자는 염수리튬 1공장 조업 안정화와 설비 개선에 기반한 공식 실적이다. 하반기 2공장 준공에 따른 초기 비용이 예상돼 흑자 지속 여부와 단계적 증산이 다음 판단 지점이다.
084 | high | 2026-07-30 | EU | 2026-07-30_EU_02 | Altech, 독일 CERENERGY 프로젝트 중단 | FACT: Altech는 독일 작센의 CERENERGY 프로젝트를 중단하기로 결정했다. 확인된 실행 변화는 해당 프로젝트의 중단 결정이다. | GATE: 프로젝트 중단은 CERENERGY 기술 자체의 성능 판정과 동일하지 않다. 사업의 후속 처리와 재개 가능성을 별도로 확인해야 한다.
085 | high | 2026-07-30 | EU | 2026-07-30_EU_01 | Axpo-Zelestra, 이탈리아 BESS 830MWh 10년 톨링 | FACT: Axpo와 Zelestra는 이탈리아 BESS 프로젝트에 10년 톨링 계약을 체결했다. 프로젝트의 확인된 저장용량은 830MWh다. | GATE: 장기 톨링 계약은 운영 개시와 다르다. 프로젝트 건설과 실제 운영 전환 여부가 계약의 실행성을 보여줄 다음 지표다.
086 | high | 2026-07-29 | US | 2026-07-29_US_01 | Eolian, 오하이오 200MW/1.06GWh Flint Grid 착공 | FACT: Eolian은 오하이오의 Flint Grid BESS 공사를 시작했다. 프로젝트 규모는 200MW, 5.3시간, 약 1.06GWh다. | GATE: 착공은 개발계획에서 물리적 실행으로 넘어간 단계다. 향후 공정 진척과 상업운전 일정 이행이 프로젝트 실현의 다음 지표다.
087 | high | 2026-07-29 | GL | 2026-07-29_GL_01 | Neoen Goyder Stage 2, Tesla/UGL 실행계약 | FACT: Neoen은 Goyder Battery Stage 2와 관련해 Tesla와 UGL 계약을 체결했다. UGL 측 자료는 현장공사가 2026년 8월 시작될 예정이라고 밝혔다. | GATE: 7월 말의 확인된 사건은 물리적 착공이 아니라 계약 실행 단계다. 실제 현장공사 개시와 프로젝트 일정 이행을 별도로 확인해야 한다.
088 | high | 2026-07-29 | EU | 2026-07-29_EU_01 | Alcemi, 루마니아 575MW/2.3GWh BESS 개발자산 지분 인수 | FACT: Profit.ro와 Energy-Storage.News에 따르면 Alcemi는 2026년 7월 29일 루마니아 Medgidia 300MW/1,200MWh와 Șura Mare 275MW/1,100MWh BESS 개발 프로젝트의 과반 지분 인수를 발표했다. 합계는 575MW/2.3GWh이며 두 프로젝트는 초기 개발 단계다. | GATE: 두 프로젝트는 합계 575MW/2.3GWh 규모지만 아직 초기 개발 단계다. 지분 인수는 개발 포트폴리오 확보를 의미하며 착공·최종투자결정(FID)·상업운전과 동일하지 않다.
089 | high | 2026-07-28 | US | 2026-07-28_US_01 | 미 FCC, 해외산 연결형 전력인버터 신규 장비승인 제한 | FACT: Reuters와 Nextgov는 FCC가 7월 28일 해외 생산 연결형 전력인버터의 신규 모델 장비승인을 제한했다고 확인했다. Nextgov는 해당 장비가 안보위협 목록(Covered List)에 추가됐으며 기존에 FCC 장비승인을 받은 외국산 인버터는 계속 수입·판매·사용할 수 있다고 설명했다. | GATE: 이번 조치는 전체 기존 설치 인버터를 즉시 금지하는 조치가 아니라 신규 모델의 장비승인·시장진입을 제한하는 규제다. 기존 승인 모델과 신규 모델의 처리 차이가 커 공급사 영향은 신규 승인 파이프라인을 중심으로 봐야 한다.
090 | high | 2026-07-28 | JP | 2026-07-28_JP_01 | Hexa–Tokyo Gas, Fukushima 49.7MW/202.1MWh BESS 20년 오프테이크 | FACT: Hexa Energy Services는 Fukushima 49.7MW/202.1MWh BESS에 대해 Tokyo Gas와 20년 장기 오프테이크 계약을 체결했다고 발표했다. 회사는 해당 프로젝트의 상업운전 개시를 FY2029로 예정하고 있다. | GATE: 프로젝트가 단순 개발계획을 넘어 장기 오프테이크 계약으로 운용·수익 구조를 구체화한 실행 이벤트다. 49.7MW/202.1MWh 규모와 20년 계약기간, FY2029 상업운전 일정이 함께 제시됐다.
091 | high | 2026-07-28 | GL | 2026-07-28_GL_03 | GBM, Lomiko 인수 위한 약 1,100만캐나다달러 계약 체결 | FACT: Lomiko는 2026년 7월 28일 GBM과 법원 승인 방식의 주식 인수계약을 체결했다고 공시했다. 거래가는 주당 0.13캐나다달러이며 완전희석 기준 지분가치는 약 1,100만캐나다달러다. 종결에는 주주·법원·규제 승인 등 통상 조건이 남아 있다. | GATE: 거래가 종결되면 캐나다 천연흑연 자산과 음극재 가공 플랫폼의 통합 범위가 확대될 수 있다. 현재는 계약 체결 단계이며 주주·법원·규제 승인 등 종결 조건이 남아 있다.
092 | high | 2026-07-28 | GL | 2026-07-28_GL_02 | Simcoe 150MW/1,200MWh, IESO와 20년 계약 | FACT: Aecon은 온타리오 Simcoe 150MW/1,200MWh BESS와 관련해 IESO Energy Storage Facility Agreement를 체결했다. 계약기간은 20년으로 확인된다. | GATE: 장기계약 체결은 건설 완료와 다르다. 실제 건설 진행과 운영 개시가 프로젝트 전환의 다음 실행지표다.
093 | high | 2026-07-28 | GL | 2026-07-28_GL_01 | Greenbushes, 6월분기 정광 38.7만톤·실현가 2,286달러/t | FACT: IGO의 6월분기 보고서에서 Greenbushes 스포듀민 정광 생산은 38만7,000톤으로 전분기 대비 10%, 판매는 39만1,000톤으로 12% 증가했다. 현금원가는 t당 448호주달러로 보합이었고 실현가격은 t당 2,286달러로 37% 상승해 EBITDA 마진 80%를 기록했다. Windfield는 주주에게 3억9 | GATE: 수치는 Greenbushes 100% 기준이며 판매 증가는 전분기 지연선적을 포함한다. 분기 가격반등과 배당재개가 장기 회복을 보장하지 않고, CGP3 재가동·회수율과 FY27 생산 155만~175만톤·원가 380~440호주달러/t 가이던스 이행을 확인해야 한다.
094 | high | 2026-07-28 | EU | 2026-07-28_EU_01 | EU, 15억유로 Battery Booster 공모 개시 | FACT: EU는 15억유로 규모 Battery Booster 공모를 개시했다. 지원은 EV 배터리 셀 생산 램프업 프로젝트 대상 무이자 대출이며 건당 최대 5억유로로 제시됐다. | GATE: 공모 개시는 자금 집행이나 수혜기업 확정을 의미하지 않는다. 선정 결과와 실제 생산 램프업 연결 여부가 정책효과의 다음 지표다.
095 | high | 2026-07-28 | CN | 2026-07-28_CN_01 | HyperStrong, H1 매출 56억~69억위안 전망 | FACT: HyperStrong은 2026년 상반기 매출을 56억~69억위안으로 예상한다고 밝혔다. 이는 최종 실적이 아닌 상반기 실적예고 범위다. | GATE: 현재 수치는 상반기 실적예고 범위이며 최종 확정실적이 아니다. 실제 실적 발표에서 제시 범위의 달성 여부를 확인해야 한다.
096 | high | 2026-07-27 | US | 2026-07-27_US_02 | BMW Woodruff, 12월 iX5 고전압 배터리 양산 개시 | FACT: BMW는 7월 27일 사우스캐롤라이나 Woodruff 공장이 2026년 12월 신형 전기 iX5용 고전압 배터리 양산을 시작한다고 밝혔다. 공장은 2023년 9월 건설에 착수하고 2024년 9월 장비설치를 시작했으며 2025년 여름부터 시험·선행생산을 진행했다. Gen6 원통형 셀을 cell-to-pack 방식으로 조립한 | GATE: 12월 일정은 공식 양산개시 목표지만 현재는 선행생산 단계다. 공장 투자액·연간 팩 생산능력·셀 공급사와 iX5 생산량이 공개되지 않아 경제효과를 정량화할 수 없다.
097 | high | 2026-07-27 | KR | 2026-07-27_KR_03 | SKC, 2Q 동박 분기 최대 매출…ESS 판매 확대가 회복축으로 | FACT: SKC는 2026년 2분기 매출 6,454억원, 영업손실 144억원, EBITDA 291억원을 기록했다. 공식 자료는 동박 사업이 분기 최대 매출을 달성했다고 밝혔다. 실적 발표 보도에서는 ESS와 EV용 동박 판매 증가가 회복 흐름을 지지한 것으로 설명됐다. | GATE: 동박은 음극 집전체로 파우치필름과 다른 BOM이다. ESS 동박 판매 확대는 셀 생산 강도의 선행지표이지 SBTL 파우치 수요를 그대로 의미하지 않는다.
098 | high | 2026-07-27 | KR | 2026-07-27_KR_02 | 현대차 1.2조원 안성 배터리 R&D 캠퍼스, 조립장비 반입 | FACT: 현대차는 안성 미래 모빌리티 배터리 캠퍼스에 노칭·스태킹 등 조립공정 장비를 7월 27일 주간부터 반입하기 시작했다. 총투자액은 1조2,000억원이며 부지 약 19만7,000㎡, 연면적 11만1,000㎡ 규모로 2026년 말 완공이 목표다. 캠퍼스는 전극·조립·활성화 공정을 양산환경과 유사하게 재현해 셀 설계와 공정기술을 | GATE: 공식 범위는 연구개발·공정재현·차량통합 검증이며 상업 양산공장으로 해석해서는 안 된다. 차량 적용성과는 공정검증 완료, 셀 사양과 실제 양산모델 채택에서 확인해야 한다.
099 | high | 2026-07-27 | KR | 2026-07-27_KR_01 | 산업부, 현대차·KGM·르노코리아 양산계획 연계 부품 R&D 신설 | FACT: 산업통상부는 완성차 기업의 양산계획과 부품기업의 기술개발을 연결하는 생태계 협력형 R&D를 신설했다. 현대차·KG모빌리티·르노코리아가 수요기업으로 기획 단계부터 참여하며, 올해 3개 과제에 과제당 3년간 80억원씩 총 240억원을 지원한다. | GATE: 정부지원과 수요기업 참여는 개발경로를 구체화하지만 양산채택을 보장하지 않는다. 선정 기술, 성능목표, 차량 적용계획과 구매계약이 후속 판단기준이다.
100 | high | 2026-07-27 | GL | 2026-07-27_GL_05 | 인도네시아, 희토류 부산물 수출 병목 해소 추진 | FACT: 인도네시아 당국은 희토류를 부산물로 포함한 광물 수출의 규제 공백을 해소하는 작업에 나섰다. Reuters 보도에 따르면 허용 희토류 함량 기준 부재로 알루미나와 니켈 제품 선적이 지연됐고, 당국은 별도 규칙이 없는 상황에서 부산물 포함 광물 수출을 막지 말아야 한다고 밝혔다. | GATE: 확인된 쟁점은 희토류를 부산물로 포함한 다른 광물의 허용 함량 규칙 공백과 이에 따른 선적 지연이다. 실제 공급망 영향은 규칙 확정과 통관 정상화에서 확인해야 한다.
101 | high | 2026-07-27 | GL | 2026-07-27_GL_04 | NextSource, Molo Phase 2 총 15만tpa 확장 CAPEX 2.908억달러로 재산정 | FACT: NextSource의 Molo 흑연광산 업데이트 타당성조사는 기존 Phase 1 운영을 넘어 5만tpa 처리모듈 3개를 두 단계로 건설하는 Phase 2 확장안을 제시했다. 타당성조사가 산정한 안정상태 흑연정광 총 생산능력은 연 15만톤이다. 확장 CAPEX는 2억9,080만달러, 세후 NPV8은 3억4,840만달러, 세 | GATE: 회사는 첫 확장단계의 생산결정을 아직 내리지 않았다. 경제성은 100% 자기자본 조달과 평균 판매가 1,138달러/t을 전제로 하며, 마다가스카르의 최소 10% 무상지분 가능성과 국내공급 의무는 모델에 반영되지 않아 실제 주주가치가 낮아질 수 있다.
102 | high | 2026-07-27 | GL | 2026-07-27_GL_03 | LS에코에너지·Lynas, 각각 300억원 전환사채 상호인수 계약 | FACT: LS에코에너지와 호주 Lynas는 7월 27일 각각 300억원 규모의 전환사채를 상호 인수하는 계약을 체결했다. 3월 희토류 사업협력의 후속으로 Lynas 원료, LS에코에너지 희토류 금속, LS전선 영구자석을 연결하며 사마륨을 시작으로 디스프로슘·터븀·NdPr 금속으로 협력범위를 확대할 계획이다. | GATE: CB 상호인수는 구속력 있는 자본연계지만 즉시 지분전환·원료 물량·판매가격을 확정하지 않는다. 발행·납입·전환조건과 실제 오프테이크·금속생산 계약을 별도로 확인해야 한다.
103 | high | 2026-07-27 | GL | 2026-07-27_GL_02 | 한국·브라질, 핵심광물·공급망 기술협력 확대 | FACT: 한국과 브라질은 7월 27일 정상회담에서 탐사·개발·가공·재활용을 포함한 핵심광물 전주기 협력을 확대하기로 했다. 산업기술 MOU에는 공급망 기초요소, 지속가능 연료·소재와 산업 탈탄소화가 포함됐고 한·브라질 경제통상위원회도 출범했다. 정상회담의 7개 MOU는 우주·에너지·산업기술·사이버·스포츠·교육·영화 등 서로 다른  | GATE: 정부 합의와 MOU는 협력 프레임이며 특정 광종 투자·오프테이크·광산개발 계약이 아니다. 7개 MOU 전체를 핵심광물 계약으로 묶거나 한·메르코수르 협상재개를 확정된 협정으로 해석해서는 안 된다.
104 | high | 2026-07-27 | EU | 2026-07-27_EU_03 | InoBat, Cartesian II와 기업결합 계약·7,750만달러 PIPE 확보 | FACT: InoBat과 Cartesian Growth Corporation II는 7월 27일 확정 기업결합계약을 체결했다. 거래는 earnout을 포함해 InoBat의 합병 전 기업가치를 12억6,500만달러로 평가하고 7,750만달러의 committed PIPE를 포함한다. 회사는 유틸리티 BESS 875MWh를 계약했거나 납 | GATE: 본계약과 PIPE는 자본시장 실행단계지만 상장종결과 현금유입을 보장하지 않는다. 기업가치에는 earnout이 포함되고 최소현금 조건이 없어, 실제 조달액은 SPAC 환매·PIPE 납입·종결조건에 좌우된다.
105 | high | 2026-07-27 | EU | 2026-07-27_EU_02 | AMG, Zinnwald Lithium 잔여지분 약 71% 인수 완료 | FACT: AMG Critical Materials는 7월 27일 Zinnwald Lithium의 잔여지분 약 71% 인수를 완료해 프로젝트 소유권을 통합했다. 회사는 향후 18~24개월 동안 초기 사업범위와 개발계획을 검토·재정의·진전시키겠다고 밝혔다. | GATE: 소유권 100% 통합은 통제권 확보이지 광산 FID·건설·생산개시는 아니다. 인수대가, 재설계 CAPEX·NPV, 인허가 일정과 자금조달 계획은 아직 공개되지 않았다.
106 | high | 2026-07-27 | EU | 2026-07-27_EU_01 | Zenobe, 독일 sdp energie 인수로 1.75GW BESS 개발경로 확보 | FACT: Zenobe는 7월 27일 바이에른 소재 BESS 개발사 sdp energie 인수를 완료했다. 인수대상은 독일 6개 부지에서 총 1.75GW의 송전망 연계 BESS를 개발 중이며 프로젝트별 성숙도는 다르다. Zenobe는 별도로 3.3GWh의 저장자산을 운영 중이거나 건설 중이라고 밝혔다. | GATE: 인수 완료는 독일 시장 진입의 실행앵커지만 1.75GW는 가동자산이 아니라 개발 파이프라인이다. 인수가격·부지별 CAPEX·상업운전일은 공개되지 않았고, 계통접속·인허가·투자결정 전환률이 실제 가치의 핵심이다.
107 | high | 2026-07-24 | US | 2026-07-24_US_02 | CS PowerTech, 인디애나 HJT 태양전지 공장 1단계 개장 | FACT: CS PowerTech는 7월 24일 인디애나 Jeffersonville의 HJT 태양전지 공장 1단계를 개장했다. 회사는 전체 사업에 약 10억달러를 투자하고 2027년 초 완전가동 시 연 6GW 이상과 1,200명 이상의 고용을 목표로 한다. 생산 셀은 텍사스 Mesquite의 모듈공장으로 공급될 계획이다. | GATE: 10억달러·6GW·1,200명은 전체 완전가동 목표이지 현재 1단계 실적이 아니다. 1단계 설치용량, 수율, 고객출하와 세액공제·관세 환경의 지속성이 사업성을 결정한다.
108 | high | 2026-07-24 | US | 2026-07-24_US_01 | 팩토리얼, 비행시험 거쳐 리튬메탈 드론 셀 첫 상업주문 확보 | FACT: 팩토리얼은 7월 24일 미국 드론 제조사로부터 항공 분야 첫 상업주문을 확보했다고 발표했다. 회사는 성공적인 배터리 통합과 드론 비행시험 이후 고에너지밀도 리튬메탈 셀을 미국 기반 팩 통합사에 공급한다고 설명했으며, 해당 시험에서 비행거리가 30% 이상 늘었다고 밝혔다. 고객명·주문량·납기와 계약금액은 공개하지 않았다. | GATE: 첫 구매주문은 기술검증에서 상업 공급으로 이동한 증거지만 반복 발주나 양산 규모를 뜻하지 않는다. 30% 이상 비행거리 증가는 회사 시험결과이며 실제 납품·재주문·현장 운항데이터가 상업성을 가르는 다음 기준이다.
109 | high | 2026-07-24 | GL | 2026-07-24_GL_03 | 선전 중지자동화, 11억위안·4GWh 해외 턴키라인 출하 | FACT: 선전 중지자동화는 7월 24일 계약액 약 11억위안, 총 4GWh 규모의 해외 배터리 양산 턴키라인을 출하했다. 생산·검사장비와 보조동력시스템뿐 아니라 현지 공장계획과 전 공정 표준화 체계를 함께 공급한다. 6월 해외 실험라인 턴키 인도에 이은 대형 양산라인 수출이다. | GATE: 출하는 계약 실행의 강한 신호지만 고객사·설치국가·배터리 형식과 최종 검수일정은 공개되지 않았다. 매출인식과 반복수주는 현지 설치·시운전·인수검사로 확인해야 한다.
110 | high | 2026-07-24 | GL | 2026-07-24_GL_02 | AfDB, 모로코 통합 LFP 기가팩토리에 1억유로 대출 승인 | FACT: 아프리카개발은행 이사회는 Gotion Power Morocco의 통합 LFP 배터리 공장에 1억유로 대출을 승인하고 다른 금융 파트너로부터 최대 1억4,100만유로를 추가 동원하기로 했다. 약 13억달러가 투입되는 1단계는 양극재부터 셀·팩까지 연 10GWh 규모이며 유럽 수출을 주로 겨냥한다. 장기 확장목표는 100GW | GATE: 100GWh는 장기 확장계획이고 현재 승인된 사업범위는 1단계 10GWh다. 대출 승인 이후 금융약정 체결, 자기자본 투입, 착공·장비반입과 고객계약을 확인해야 한다.
111 | high | 2026-07-24 | GL | 2026-07-24_GL_01 | 인도네시아 희토류 검사 공백, 알루미나·NPI·MHP 선적 지연 | FACT: 7월 중 인도네시아 세관이 희토류 등 핵심광물 성분에 대한 추가검사를 요구하면서 알루미나·니켈선철(NPI)과 니켈·코발트 중간재 MHP의 복수 선적이 지연됐다. 당국은 전면 수출중단이 아니며 요건을 충족한 물량은 통관된다고 설명했다. 시장 혼선의 핵심은 허용 가능한 희토류 함량과 검사절차가 명확하지 않다는 점이다. | GATE: 영향 물량과 평균 지연기간은 공개되지 않았으며 품목 전체의 수출금지로 확대해서는 안 된다. 공급차질의 지속성은 성분기준·검사방식과 통관 정상화 여부로 판단해야 한다.
112 | high | 2026-07-24 | CN | 2026-07-24_CN_01 | CATL 상반기 ESS 매출 532.6억위안·87.5% 증가 | FACT: CATL의 2026년 상반기 ESS 배터리 시스템 매출은 532억6,096만7천위안으로 전년 동기 대비 87.54% 증가했다. ESS 매출총이익률은 23.96%로 1.56%포인트 낮아졌지만 같은 기간 동력배터리 마진 20.63%를 웃돌았다. | GATE: 매출 증가율만으로 출하량 성장과 가격효과를 분리할 수 없다. 시스템 출하량, ASP, 제품구성과 현금흐름을 함께 봐야 성장의 질을 판단할 수 있다.
113 | high | 2026-07-23 | US | 2026-07-23_US_01 | 매사추세츠 유틸리티 2곳, 가정용 V2G 60기 보상시험 착수 | FACT: Eversource와 National Grid는 EnergyHub·Sunrun·The Mobility House와 함께 7월 23일 매사추세츠 ConnectedSolutions에 V2G 가능 전기차를 참여시키는 공동시험을 발표했다. MassCEC 지원으로 참여자 가정에 양방향 충전시스템 60기가 설치될 예정이며, 차량의  | GATE: 이번 조치는 60기 규모의 보상형 운영실증으로 상용 요금제 확정을 의미하지 않는다. 차종 호환성, 배전망 기여량, 고객 참여율과 실제 정산결과가 확장 여부를 결정한다.
114 | high | 2026-07-23 | KR | 2026-07-23_KR_02 | KAIST, 테라헤르츠 간섭계로 전극 두께 비접촉·비파괴 측정 검증 | FACT: Nature Communications에 게재된 KAIST 연구는 나노미터 정밀 테라헤르츠 간섭계를 이용해 배터리 전극 두께를 비접촉·비파괴 방식으로 측정했다. 연구진은 50~150마이크로미터 범위의 전극에서 성능을 검증했다. | GATE: 전극을 절단하지 않고 두께를 측정할 수 있다면 검사속도와 불량선별 효율을 높일 여지가 있다. 실제 생산라인 적용속도와 소재별 정확도가 상용성의 기준이다.
